,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
AFI.cif_0,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04808441782960261,0.5252707364824885,1.574713899439434,2.9795033004391436,4.341181855410042,5.256156582216075,5.739713633021102,5.966149347075139,6.051136820152451,2.482233312074271,0.3646622182110887,0.0006234194819644242,5.251510773947353,3.068577737673221,3.0431793019362465,0.7592490126634016,6.0,12.086100000000002,1.0,2.0,1.5400000000000003,45.0,-6.0,-12.086100000000002,-1.0,2.0,1.5400000000000003,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_1,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.0481854865596189,0.5257734296858276,1.5750266385853915,2.9860828974878606,4.364017307596814,5.2936139989768085,5.785728452043836,6.01633268487187,6.102908932760544,2.4852107188476413,0.3650861289495158,0.000625879129625697,5.298780996698265,3.0768961297094894,3.071149122210578,0.7597904768143924,6.0,12.0861,1.0,2.0,1.5400000000000003,45.0,-6.0,-12.0861,-1.0,2.0,1.5400000000000003,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_2,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04843744430624442,0.5264084262962756,1.5595844369348357,2.909538977832212,4.207321104499364,5.076862082448723,5.535708859623234,5.750410678539567,5.830967454125958,2.433850848462633,0.36590842041900806,0.0006329584612474277,4.904187419784573,2.9213554168088933,2.897289573917675,0.7494830422953794,6.0,12.086100000000002,1.0,2.0,1.54,45.00000000000001,-6.0,-12.086100000000002,-1.0,2.0,1.54,-45.00000000000001,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_3,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.0480848142762288,0.525265508596529,1.5745496644032755,2.978838545282283,4.339956657629815,5.254558755609855,5.737922714667338,5.964269021554459,6.049223107207193,2.481764700352741,0.3646613659470998,0.0006234345856210258,5.248162683526132,3.0673236762035,3.0417725042826507,0.7591634793556158,6.0,12.086099999999998,1.0,2.0,1.54,45.0,-6.0,-12.086099999999998,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_4,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04815622793860743,0.5256227036896501,1.5746914240372607,2.985289966796897,4.362605113563987,5.2917315582726365,5.7835857770815124,6.014065907388183,6.100595242298514,2.484607194673833,0.36496492876576275,0.0006251194901697581,5.295379395600847,3.0753864351126263,3.069258113653813,0.7595125859404279,6.000000000000001,12.0861,1.0,2.0,1.5400000000000003,45.00000000000001,-6.000000000000001,-12.0861,-1.0,2.0,1.5400000000000003,-45.00000000000001,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_5,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04841888540238743,0.5263142499541932,1.559459628184678,2.9094640949253607,4.2072864298434505,5.076828244145161,5.53566562566124,5.750360675005987,5.830914520670693,2.4337549417633317,0.36583136041796666,0.0006324901603585536,4.904309815375474,2.921137342589943,2.897465764547974,0.7493974468248914,6.0,12.0861,1.0,2.0,1.54,45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_6,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04855034649323095,0.527086205566718,1.5644992436922973,2.939725182549891,4.281432565185887,5.186291656646066,5.664892746193141,5.889030580777701,5.973154847576495,2.452182866768533,0.3663993222524706,0.0006361261869004458,5.111787286634238,2.9775379026265925,3.011747248083691,0.7528785607922731,5.986900836131067,12.059713699260614,0.9978168060218446,1.9956336120436893,1.5366378812736408,44.90175627098301,-5.986900836131067,-12.059713699260614,-0.9978168060218446,1.9956336120436893,1.5366378812736408,-44.90175627098301,0.0,0.0,0.0,2.0,1.54,0.0,-6.0,-12.0861,-1.0,0.0,0.0,-45.0
AFI.cif_7,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04803423470634799,0.524889942852006,1.5702005253920042,2.970681527119232,4.335599835217953,5.254186661964612,5.739610125405677,5.966865096880138,6.052148350389166,2.4738593953211074,0.364425694106854,0.0006220723282187411,5.224959984375826,3.042228245245213,3.0422434035809314,0.7558138452985914,6.0,12.0861,1.0,2.0,1.54,44.99999999999999,-6.0,-12.0861,-1.0,2.0,1.54,-44.99999999999999,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
AFI.cif_8,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04827032878569023,0.5261061242765801,1.573088378129025,2.978091101522305,4.343656781373104,5.258454870303824,5.7404028430063665,5.9656839889439475,6.050170090035319,2.4796955470818083,0.3654017554531198,0.0006282978009451847,5.294468433160457,3.065462892915356,3.0788025991079246,0.7614118250208451,5.999999880458628,12.086099759201838,0.999999980076438,1.999999960152876,1.5399999693177147,44.999999103439706,-5.999999880458628,-12.086099759201838,-0.999999980076438,1.999999960152876,1.5399999693177147,-44.999999103439706,0.0,0.0,0.0,2.0,1.54,0.0,-6.0,-12.0861,-1.0,0.0,0.0,-45.0
AFI.cif_9,AFI.cif,cifs,14.0,28.0855,3.0,14.0,1.9,111.0,0.04854592892348934,0.5270629754092818,1.5644188125817136,2.9394324204395845,4.280870435291573,5.185545715494067,5.664051380142616,5.8881450855564195,5.972252887673515,2.451978811651051,0.36638098838124195,0.0006360075940234471,5.110466893995988,2.9769431203723635,3.011348877426952,0.7528189864428747,5.9869012949162315,12.059714623414513,0.9978168824860387,1.9956337649720775,1.5366379990284997,44.90175971187174,-5.9869012949162315,-12.059714623414513,-0.9978168824860387,1.9956337649720775,1.5366379990284997,-44.90175971187174,0.0,0.0,0.0,2.0,1.54,0.0,-6.0,-12.0861,-1.0,0.0,0.0,-45.0
