,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
cifs/18150N2_0,1.0,1.00794,1.0,1.0,2.2,31.0,0.1398032900469772,0.46719902407056907,1.1574922943875277,2.4144198574348286,3.805974137223206,4.78274123431956,5.307058810848428,5.554074574004091,5.647005720821325,1.9389857982390526,0.37567844121830146,0.019904671596229252,6.636549539494557,1.4664619542220723,4.361469907551589,0.09654168299327008,10.42860357374862,22.48744432321297,1.4211396184001188,14.23251553265157,0.8391795045541974,52.53783384872012,10.42860357374862,22.48744432321297,1.4211396184001188,14.23251553265157,0.8391795045541974,52.53783384872012,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_1,1.0,1.00794,1.0,1.0,2.2,31.0,0.1301587252796528,0.529070003764858,1.725751039081267,3.8078559190465526,5.843712121486169,7.177023009615175,7.870865451124451,8.193425344114086,8.314122944637003,3.05550197750241,0.3991120014335943,0.01701930322773825,12.223885236777283,4.298135870522653,7.369019770561698,0.7993836475350143,3.7479261929846905,8.143850357728171,0.6489574997157773,8.93958619071091,0.45354319756170625,26.687394015180953,3.7479261929846905,8.143850357728171,0.6489574997157773,8.93958619071091,0.45354319756170625,26.687394015180953,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_2,1.0,1.00794,1.0,1.0,2.2,31.0,0.14184949498181967,0.5137100048659945,1.5237093703191393,3.365104755478522,5.242261727793119,6.489339367915304,7.141076135700307,7.4444849970473435,7.558072400363956,2.68683204738224,0.3993858620491283,0.02036831005390582,10.88903294545007,3.369331139924919,6.669808104498449,0.4237957610556948,7.199856862245305,15.534464894003353,1.0103318410710047,10.762297792603107,0.6291160719566556,37.83159155001335,7.199856862245305,15.534464894003353,1.0103318410710047,10.762297792603107,0.6291160719566556,37.83159155001335,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_3,1.0,1.00794,1.0,1.0,2.2,31.0,0.13613183274156299,0.5091479682589675,1.5188960205646993,3.3881500848126147,5.299824529817508,6.566817626210528,7.227754098265153,7.535164557503943,7.650204859569015,2.6974590870563935,0.39443203737311316,0.0186638045123156,10.550385808178468,3.2192322886009914,6.546765126465472,0.498029171404853,3.7492132742040756,8.131551544146486,0.6345318722684945,8.825468252352032,0.4813620586095535,25.671164687774233,3.7492132742040756,8.131551544146486,0.6345318722684945,8.825468252352032,0.4813620586095535,25.671164687774233,7.0,14.99146,1.0,15.0,1.2399999999999998,45.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_4,1.0,1.00794,1.0,1.0,2.2,31.0,0.1397930531608237,0.4986584940643637,1.3480672246808199,2.838402158800226,4.40438384642432,5.47754068988073,6.048230450900363,6.316096169128671,6.41672508667274,2.2864391920179536,0.39254335224604797,0.01969225831244226,8.425194788579393,2.183568997812673,5.301054618316959,0.19343040834925163,3.6269768555247395,7.8217662629860945,0.5635213333904374,7.88946953781386,0.5214668539595986,21.48051267428055,3.6269768555247395,7.8217662629860945,0.5635213333904374,7.88946953781386,0.5214668539595986,21.48051267428055,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_5,1.0,1.00794,1.0,1.0,2.2,31.0,0.1391556593181913,0.4756242643560728,1.2690476781181106,2.67526677038933,4.115847917910223,5.083717262592302,5.593347207398114,5.831495416947877,5.9207966988621274,2.1579248745929873,0.37849778431489095,0.01971375004401805,7.9011507176360425,2.0220217815777417,5.112888311058775,0.1903513219468152,9.331401989291852,20.082301857340546,1.233162264559243,12.410184087847208,0.8182028815210555,44.33007833500678,9.331401989291852,20.082301857340546,1.233162264559243,12.410184087847208,0.8182028815210555,44.33007833500678,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_6,1.0,1.00794,1.0,1.0,2.2,31.0,0.14166827036421617,0.4743560448993196,1.239656264771333,2.7016523228402463,4.29680527315269,5.396203384155096,5.980357786688467,6.25425294001825,6.357089649791849,2.1489168481287977,0.37997236853758104,0.020430793626529425,8.116324282385955,1.9109064309469856,5.328451127380066,0.1755527738968845,7.366395358666871,15.895680421251205,1.0035514757603419,9.656673040229464,0.5333579721149934,37.36159372049717,7.366395358666871,15.895680421251205,1.0035514757603419,9.656673040229464,0.5333579721149934,37.36159372049717,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_7,1.0,1.00794,1.0,1.0,2.2,31.0,0.13743631674361906,0.5196081873124794,1.516265967011783,3.3566653876767476,5.270933232637405,6.557455992286073,7.233646911989916,7.549255684467048,7.667537988932689,2.673456344343654,0.40298616140769833,0.018784677840551583,11.173623427136196,3.4674396269784724,6.831995653126939,0.467766334650006,8.087432970240007,17.456182362823583,1.1198619732651962,11.219344429470409,0.6215058486436799,41.95922500210137,8.087432970240007,17.456182362823583,1.1198619732651962,11.219344429470409,0.6215058486436799,41.95922500210137,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_8,1.0,1.00794,1.0,1.0,2.2,31.0,0.1340324063569387,0.5523358888122049,1.761866952432845,3.945994603180315,6.191745941350456,7.70106298902409,8.495219047163356,8.866123491095735,9.005168735957728,3.141092462411444,0.41708166661474544,0.017731966623991503,13.615357086254285,4.832246484838178,7.941106735398344,0.7405017248960597,4.075342366709313,8.850214088846851,0.6906202386439413,9.246591162580726,0.46676263714642807,28.20988263690941,4.075342366709313,8.850214088846851,0.6906202386439413,9.246591162580726,0.46676263714642807,28.20988263690941,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
cifs/18150N2_9,1.0,1.00794,1.0,1.0,2.2,31.0,0.13475268640275015,0.5201302920228673,1.6380748825383094,3.5703338016268327,5.4146936071979015,6.601204065063631,7.2133363921957,7.496839253836088,7.602759497092531,2.8770364833011155,0.3976414753204007,0.018294898314615365,11.206974489542993,3.8255841632339314,6.704499791546477,0.5687616377429872,5.548356507861575,11.980818969377992,0.822891140364695,9.866835802221088,0.5859171920196374,31.417544043354432,5.548356507861575,11.980818969377992,0.822891140364695,9.866835802221088,0.5859171920196374,31.417544043354432,16.0,34.445060000000005,2.0,16.0,1.2399999999999998,71.0,0.0,0.0,0.0,0.0,0.0,0.0
